	0	1
2033	0.7500000079472859	[128, 5, 'softmax', 'softmax', 'sigmoid', 'softplus']
359	0.7500000079472859	[32, 5, 'softplus', 'tanh', 'softplus', 'softmax']
1469	0.7500000079472859	[64, 7, 'tanh', 'softmax', 'softmax', 'softplus']
548	0.7500000079472859	[32, 7, 'sigmoid', 'tanh', 'softplus', 'sigmoid']
1339	0.7500000079472859	[64, 7, 'sigmoid', 'softmax', 'tanh', 'softmax']
1992	0.7500000079472859	[128, 5, 'softmax', 'sigmoid', 'tanh', 'sigmoid']
2011	0.7500000079472859	[128, 5, 'softmax', 'softplus', 'tanh', 'softmax']
1309	0.7500000079472859	[64, 7, 'sigmoid', 'softplus', 'softmax', 'softplus']
281	0.7500000079472859	[32, 5, 'sigmoid', 'softplus', 'tanh', 'softplus']
472	0.7500000079472859	[32, 5, 'softmax', 'softplus', 'tanh', 'sigmoid']
1980	0.7500000079472859	[128, 5, 'tanh', 'softmax', 'softmax', 'sigmoid']
2065	0.7500000079472859	[128, 7, 'sigmoid', 'softplus', 'sigmoid', 'softplus']
465	0.7500000079472859	[32, 5, 'softmax', 'softplus', 'sigmoid', 'softplus']
464	0.7500000079472859	[32, 5, 'softmax', 'softplus', 'sigmoid', 'sigmoid']
1963	0.7500000079472859	[128, 5, 'tanh', 'tanh', 'tanh', 'softmax']
1476	0.7500000079472859	[64, 7, 'softmax', 'sigmoid', 'softplus', 'sigmoid']
499	0.7500000079472859	[32, 5, 'softmax', 'softmax', 'sigmoid', 'softmax']
2081	0.7500000079472859	[128, 7, 'sigmoid', 'tanh', 'sigmoid', 'softplus']
505	0.7500000079472859	[32, 5, 'softmax', 'softmax', 'tanh', 'softplus']
1997	0.7500000079472859	[128, 5, 'softmax', 'sigmoid', 'softmax', 'softplus']
241	0.7500000079472859	[32, 3, 'softmax', 'softmax', 'sigmoid', 'softplus']
1999	0.7500000079472859	[128, 5, 'softmax', 'sigmoid', 'softmax', 'softmax']
2088	0.7500000079472859	[128, 7, 'sigmoid', 'tanh', 'tanh', 'sigmoid']
425	0.7500000079472859	[32, 5, 'tanh', 'tanh', 'tanh', 'softplus']
1473	0.7500000079472859	[64, 7, 'softmax', 'sigmoid', 'sigmoid', 'softplus']
1360	0.7500000079472859	[64, 7, 'softplus', 'softplus', 'sigmoid', 'sigmoid']
416	0.7500000079472859	[32, 5, 'tanh', 'tanh', 'sigmoid', 'sigmoid']
